Total clusters, 6

Cluster Index, 0
Size, 10
NWASP, 3
NCK, 5
NEPHRIN, 2

Cluster Index, 1
Size, 17
NWASP, 4
NCK, 9
NEPHRIN, 4

Cluster Index, 2
Size, 3
NWASP, 1
NCK, 2
NEPHRIN, 0

Cluster Index, 3
Size, 3
NWASP, 1
NCK, 2
NEPHRIN, 0

Cluster Index, 4
Size, 2
NWASP, 1
NCK, 1
NEPHRIN, 0

